"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Inflammatory_Macrophage","CD4_T","TNF","TNFRSF1B",0.00419831743622679,0,"TNF_TNFRSF1B","TNF - TNFRSF1B","TNF","Secreted Signaling","KEGG: hsa04060"
"Inflammatory_Macrophage","CD4_T","TNFSF10","TNFRSF10A",0.0591556791107652,0,"TNFSF10_TNFRSF10B","TNFSF10 - TNFRSF10B","TRAIL","Secreted Signaling","KEGG: hsa04060"
"Inflammatory_Macrophage","CD4_T","LGALS9","PTPRC",0.423229056050323,0,"LGALS9_CD45","LGALS9 - CD45","GALECTIN","Secreted Signaling","PMID: 30120235"
"Inflammatory_Macrophage","CD4_T","LGALS9","CD44",0.387271277092352,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"Inflammatory_Macrophage","CD4_T","LGALS9","P4HB",0.10683699333532,0,"LGALS9_P4HB","LGALS9 - P4HB","GALECTIN","Secreted Signaling","PMID:21670307;uniprot"
"Inflammatory_Macrophage","CD4_T","PGE2-PTGES3","PTGER4",0.0680365878754003,0.03,"PGE2-PTGES3_PTGER4","PGE2-PTGES3 - PTGER4","Prostaglandin","Non-protein Signaling","PMID: 34949672;PMID: 21508345"
"Inflammatory_Macrophage","CD4_T","Cholesterol-LIPA","RORA",0.22385287602827,0,"Cholesterol-Cholesterol-LIPA_RORA","CHOLESTEROL-LIPA - RORA","Cholesterol","Non-protein Signaling","HMRbase;PMID:12467577;PDB:1N83"
"Inflammatory_Macrophage","CD4_T","CD86","CD28",0.0569616645324413,0,"CD86_CD28","CD86 - CD28","CD86","Cell-Cell Contact","PMID: 23954143"
"Inflammatory_Macrophage","CD4_T","CLEC2B","KLRB1",0.0298798142320896,0,"CLEC2B_KLRB1","CLEC2B - KLRB1","CLEC","Cell-Cell Contact","PMID: 24223577"
"Inflammatory_Macrophage","CD4_T","ICAM2","ITGAL_ITGB2",0.092727503980133,0,"ICAM2_ITGAL_ITGB2","ICAM2 - (ITGAL+ITGB2)","ICAM","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD4_T","HLA-DPA1","CD4",0.345479327747993,0,"HLA-DPA1_CD4","HLA-DPA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD4_T","HLA-DPB1","CD4",0.319074160654672,0,"HLA-DPB1_CD4","HLA-DPB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD4_T","HLA-DQA1","CD4",0.222270360337602,0,"HLA-DQA1_CD4","HLA-DQA1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD4_T","HLA-DMA","CD4",0.0922072955366685,0,"HLA-DMA_CD4","HLA-DMA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD4_T","HLA-DMB","CD4",0.0931119785723286,0,"HLA-DMB_CD4","HLA-DMB - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD4_T","HLA-DQB1","CD4",0.226666396953361,0,"HLA-DQB1_CD4","HLA-DQB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD4_T","HLA-DRA","CD4",0.355127765631902,0,"HLA-DRA_CD4","HLA-DRA - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD4_T","HLA-DRB1","CD4",0.341801593666527,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD4_T","HLA-DRB5","CD4",0.242514106953724,0,"HLA-DRB5_CD4","HLA-DRB5 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Inflammatory_Macrophage","CD4_T","SIGLEC1","SPN",0.0837407175963835,0,"SIGLEC1_SPN","SIGLEC1 - SPN","SN","Cell-Cell Contact","KEGG: hsa04514; PMID: 11238599"
